("{1,1}",0101000020E6100000D202ADF1301E624002F2E3336AE842C0),{1,1},POINT(144.943474615013 -37.8157410491003)
("{1,2}",0101000020E61000000A491569211F6240AAD6993DA3E742C0),{1,2},POINT(144.972828427861 -37.8096692086377)
("{1,3}",0101000020E6100000C0425DAF221F6240FEB819B61FEB42C0),{1,3},POINT(144.972984010839 -37.8369052529906)
("{1,4}",0101000020E610000040AACAAF811D624040858C781AEA42C0),{1,4},POINT(144.922080894308 -37.828932827581)
("{1,5}",0101000020E6100000CA55A2B9941D62404330258010E042C0),{1,5},POINT(144.924404923497 -37.7505035573563)
("{1,6}",0101000020E6100000BBFBE82E421C624097C4CA5F60DE42C0),{1,6},POINT(144.8830790091 -37.7373161068037)
("{1,7}",0101000020E61000002895A6333F1C624065D24BACA6D942C0),{1,7},POINT(144.882715058667 -37.7003989572739)
("{1,8}",0101000020E61000007CF12236291F62403C448E1F32D742C0),{1,8},POINT(144.973780697106 -37.6812171406422)
("{1,9}",0101000020E610000037A2D440491F62403550E1DD6DCF42C0),{1,9},POINT(144.977692046452 -37.6205403661883)
("{1,10}",0101000020E6100000096C7BCC3D1E6240AEAE996A30CD42C0),{1,10},POINT(144.945043793734 -37.6030400514986)
("{1,11}",0101000020E6100000F26F8CB9DC1D6240B633BA6FA6C742C0),{1,11},POINT(144.933193945209 -37.559766736907)
("{1,12}",0101000020E6100000BAF17A8E1D1E6240A07CDCFBB8C042C0),{1,12},POINT(144.94110797894 -37.5056452585789)
("{1,13}",0101000020E6100000197A61FC73206240129CD2FAB8B142C0),{1,13},POINT(145.014158430466 -37.3884576347701)
("{1,14}",0101000020E6100000FA80F7CA5C2062406B07748C1AAC42C0),{1,14},POINT(145.011327250868 -37.344560200362)
("{1,15}",0101000020E6100000917468D4652162409304B2673CA642C0),{1,15},POINT(145.043680385603 -37.2987184161404)
("{1,16}",0101000020E6100000F9573988822162407765308F2E9D42C0),{1,16},POINT(145.047184097289 -37.2279833780585)
("{1,17}",0101000020E6100000091B9015E6226240C3AB7545548B42C0),{1,17},POINT(145.090586453873 -37.0885092567983)
("{1,18}",0101000020E6100000C7083975E622624076F42AA42F8242C0),{1,18},POINT(145.090632068057 -37.0170788964978)
("{1,19}",0101000020E6100000EE285D96D32362407D04CA88077D42C0),{1,19},POINT(145.119578535035 -36.976792429582)
("{1,20}",0101000020E6100000D992ACA826266240FD5BBFE38D7942C0),{1,20},POINT(145.192219101961 -36.949642628133)
("{1,21}",0101000020E6100000888146797628624039A5D876AE6F42C0),{1,21},POINT(145.264462125499 -36.8725117261733)
("{1,22}",0101000020E6100000B5E5C2988E306240B2920A859E6142C0),{1,22},POINT(145.517406826648 -36.7626501371027)
("{1,23}",0101000020E6100000EF452EEC6D326240C4435CBD546142C0),{1,23},POINT(145.575918283822 -36.7603985500823)
("{1,24}",0101000020E610000037318440AF3262406EB95310045E42C0),{1,24},POINT(145.583893068493 -36.7344990166483)
("{1,25}",0101000020E610000056371C79203662409C46FBED915242C0),{1,25},POINT(145.691463999853 -36.6450784184392)
("{1,26}",0101000020E61000008E051874673A6240A802EA3EC04B42C0),{1,26},POINT(145.825128600042 -36.5918043749455)
("{1,27}",0101000020E61000004DF796477C3D6240640D07D2894842C0),{1,27},POINT(145.921420855384 -36.5667059454379)
("{1,28}",0101000020E61000005B35146F053F62409776A72BE44842C0),{1,28},POINT(145.969413318128 -36.5694632117931)
("{1,29}",0101000020E61000007D6EE9699B416240707101B0DE4342C0),{1,29},POINT(146.050221401139 -36.5302333838507)
("{1,30}",0101000020E6100000F2DBDAE69F4262406B031D05653F42C0),{1,30},POINT(146.082019259891 -36.4952703849475)
